phase,ap_mag,freq,fr_sep,amp,pow_ex,temp,grav,metal,rad,mass
HeB,12.73,34.03,3.916,107.9,13.7,5046,2.451,-0.31,36.65,4.61
RGB,13.72,72.56,6.906,70.1,21.4,4932,2.775,-0.41,24.66,4.41
HeB,10.29,33.92,3.741,111.0,14.2,4713,2.434,-0.1,38.17,4.83
HeB,11.17,28.18,3.94,133.3,11.2,4886,2.362,-0.5,29.26,2.4
HeB,13.72,33.46,3.872,94.5,17.0,4952,2.439,0.23,36.62,4.47
HeB,11.9,26.98,3.45,95.8,12.0,4899,2.343,-0.08,36.77,3.6199999999999997
HeB,11.17,36.94,4.153,101.8,13.1,5137,2.49,-0.07,35.92,4.84
HeB,11.91,32.2,3.458,98.6,10.3,4879,2.419,-0.52,43.21,5.97
RGB,13.06,61.61,5.965,74.4,19.4,4684,2.692,0.1,27.28,4.45
HeB,13.38,55.21,5.55,73.2,15.8,4907,2.655,0.01,29.11,4.65
RGB,10.28,174.0,13.38,22.5,77.1,4935,3.155,-0.01,15.85,4.37
RGB,11.53,51.63,5.16,88.9,18.1,4614,2.612,0.26,30.32,4.58
HeB,12.72,28.6,3.599,121.7,13.1,4990,2.373,-0.34,36.17,3.75
HeB,12.18,27.81,3.908,124.9,14.1,4796,2.352,-0.42,28.849999999999998,2.2800000000000002
RGB,13.09,54.7,5.734,103.0,15.9,4565,2.635,-0.06,25.61,3.44
RGB,12.16,73.23,6.855,74.6,22.0,4579,2.762,0.56,24.16,4.109999999999999
HeB,11.68,40.02,4.457,84.6,16.2,4906,2.515,0.04,32.76,4.279999999999999
HeB,11.3,32.23,4.081,121.3,12.8,4863,2.419,-0.16,31.21,3.11
RGB,12.68,176.4,13.475,38.2,53.0,4825,3.156,0.37,15.65,4.26
HeB,13.71,41.36,4.64,99.3,12.9,4778,2.523,-0.42,30.220000000000002,3.71
RGB,11.99,64.1,6.525,77.3,19.8,4847,2.717,-0.39,24.04,3.6599999999999997
HeB,12.3,31.1,3.814,131.6,13.5,4636,2.393,0.42,33.46,3.3599999999999994
HeB,9.21,27.09,3.483,118.7,11.3,4922,2.346,-0.3,36.21,3.5300000000000002
RGB,13.87,136.79,11.525,42.1,39.4,5266,3.064,-0.37,17.55,4.34
RGB,12.49,192.47,15.033,45.1,49.9,4789,3.192,0.34,13.67,3.53
RGB,13.81,137.19,12.029,51.1,36.7,5174,3.062,-0.29,15.979999999999999,3.58
HeB,10.92,39.04,3.651,101.3,8.8,4665,2.493,-0.36,46.22,8.08
RGB,13.32,46.65,4.965,97.2,15.0,4604,2.568,0.08,29.410000000000004,3.89
RGB,10.05,56.55,5.887,78.3,15.2,4818,2.661,-0.26,26.0,3.7699999999999996
RGB,13.88,198.92,14.584,17.7,54.2,5237,3.226,-0.33,15.879999999999999,5.15
RGB,13.9,114.93,10.248,53.3,33.9,5034,2.979,-0.35,18.03,3.76
HeB,12.06,35.82,3.487,62.5,17.1,5079,2.474,0.17,49.75,8.96
HeB,13.59,53.67,5.426,92.4,16.8,4628,2.63,0.09,28.46,4.19
RGB,13.42,49.66,5.231,101.4,14.6,4858,2.607,-0.32,29.090000000000003,4.16
RGB,13.4,130.74,11.247,61.7,35.7,4912,3.029,0.2,16.89,3.71
HeB,11.65,33.98,4.146,93.7,14.1,4872,2.442,-0.27,31.799999999999997,3.4
HeB,11.96,32.96,3.945,126.9,12.4,4639,2.419,0.33,33.22,3.5200000000000005
RGB,15.4,56.2,6.093,85.1,19.5,4598,2.648,-1.9,22.54,2.75
HeB,12.82,33.18,3.781,82.9,14.3,4807,2.429,-0.19,36.97,4.47
HeB,10.74,81.79,6.413,20.5,25.9,5123,2.835,0.26,34.0,9.61
RGB,13.96,42.04,4.481,114.8,15.2,4737,2.529,0.04,33.2,4.52
RGB,11.99,143.43,11.52,42.3,43.4,4836,3.066,0.12,17.41,4.3
RGB,12.9,35.45,4.024,106.9,11.9,4772,2.456,-0.23,34.629999999999995,4.17
RGB,12.58,191.56,15.271,27.7,54.7,5212,3.208,-0.93,13.809999999999999,3.7399999999999998
HeB,11.94,62.67,5.571,42.6,25.2,4869,2.708,0.15,32.809999999999995,6.67
RGB,12.68,43.2,4.911,93.8,14.3,4927,2.549,-0.45,28.990000000000002,3.61
RGB,13.11,44.03,4.856,95.3,15.1,4777,2.551,-0.33,29.459999999999997,3.75
HeB,13.99,30.33,4.095,130.7,13.7,5099,2.403,-0.24,30.29,2.8200000000000003
HeB,11.51,82.9,6.795,34.7,30.4,5062,2.838,0.12,30.11,7.59
RGB,13.8,107.37,9.959,61.1,33.1,5126,2.953,-0.34,18.11,3.59
RGB,12.36,84.77,7.583,56.6,25.3,4800,2.836,-0.04,23.55,4.62
RGB,13.04,110.65,9.346,40.5,38.9,4829,2.953,0.22,20.42,4.550000000000001
HeB,12.78,29.43,3.688,120.0,10.5,4896,2.381,-0.46,34.8,3.54
RGB,13.37,51.06,5.511,82.8,18.6,4737,2.613,-0.15,26.5,3.51
RGB,13.99,173.02,13.435,26.1,53.8,5308,3.168,-0.28,16.439999999999998,4.83
RGB,12.89,43.76,4.946,112.6,13.9,4689,2.544,-0.45,27.71,3.27
RGB,13.08,182.28,14.288,40.4,48.0,4865,3.172,0.11,14.46,3.7800000000000002
HeB,12.96,36.7,4.225,104.5,13.9,4935,2.479,0.02,33.57000000000001,4.119999999999999
RGB,12.54,56.18,5.881,92.1,17.8,4621,2.649,-0.32,25.03,3.41
RGB,13.64,57.92,5.708,91.5,17.7,4797,2.671,0.28,28.54,4.64
RGB,13.27,44.35,4.803,89.5,13.3,5015,2.564,0.08,31.759999999999998,4.5
RGB,13.31,185.95,14.045,24.0,50.9,5119,3.191,0.37,15.83,4.73
RGB,13.84,84.98,7.751,61.6,27.4,4837,2.839,-0.0,22.75,4.34
RGB,13.62,181.19,14.498,42.7,48.3,5219,3.184,-0.07,14.64,3.9800000000000004
RGB,11.61,131.68,10.664,32.3,52.1,5070,3.039,0.02,19.25,4.9399999999999995
HeB,13.81,32.89,3.964,128.6,16.5,5089,2.438,0.24,35.05,4.1000000000000005
RGB,12.96,64.72,6.145,50.0,21.5,4783,2.718,-0.01,27.330000000000002,4.75
HeB,13.62,31.81,3.663,84.3,11.8,4916,2.416,-0.13,38.5,4.680000000000001
HeB,13.87,43.2,4.306,70.1,16.5,5116,2.557,-0.06,39.16,6.7299999999999995
RGB,11.77,56.43,5.745,98.1,17.2,4778,2.658,0.11,27.310000000000002,4.13
RGB,13.55,35.63,4.24,119.0,12.5,5014,2.469,-0.35,32.59,3.8
HeB,13.8,27.26,3.727,149.2,13.7,4983,2.352,0.15,32.53,2.8899999999999997
HeB,12.61,38.55,4.287,100.2,14.9,4838,2.496,0.04,33.760000000000005,4.34
HeB,12.93,46.02,4.693,73.8,20.9,4989,2.579,0.06,34.39,5.46
RGB,12.18,31.46,3.73,122.6,12.4,4807,2.406,-0.33,35.88,3.9899999999999998
HeB,13.97,33.48,4.021,116.9,13.5,4844,2.435,-0.58,32.87,3.57
HeB,13.56,36.86,4.085,116.4,14.6,5096,2.487,-0.24,36.739999999999995,5.039999999999999
HeB,12.43,30.47,3.848,141.8,12.0,4777,2.391,0.51,33.08,3.2700000000000005
RGB,13.63,56.46,5.612,90.9,18.5,4531,2.647,0.25,27.650000000000002,4.13
HeB,12.44,29.64,3.591,91.5,14.2,4857,2.382,0.21,37.209999999999994,4.0600000000000005
RGB,13.68,109.58,9.763,47.3,33.0,5143,2.963,0.02,19.35,4.17
HeB,13.36,22.69,3.558,171.9,10.6,5241,2.283,-0.04,30.75,2.2
HeB,12.77,25.12,3.431,170.0,10.8,4730,2.305,-0.14,33.67,2.7800000000000002
HeB,13.78,34.4,4.164,86.6,14.1,5204,2.462,-0.08,33.62,3.9800000000000004
HeB,13.14,28.58,3.659,135.3,12.5,4734,2.361,-0.21,33.58,3.14
HeB,12.66,32.08,3.83,99.7,12.2,4770,2.413,-0.2,34.620000000000005,3.7699999999999996
RGB,13.21,109.52,9.291,40.6,42.8,4857,2.95,0.06,20.48,4.54
RGB,11.98,53.08,5.34,80.3,19.1,4723,2.629,0.11,29.489999999999995,4.51
HeB,12.7,30.21,3.815,135.1,12.4,4880,2.392,-0.23,33.480000000000004,3.36
HeB,13.05,28.78,3.452,110.9,10.4,4631,2.359,-0.38,37.29,3.8600000000000003
HeB,11.54,54.84,5.096,54.0,24.5,4739,2.644,0.34,33.660000000000004,6.07
HeB,11.74,45.37,4.618,77.6,18.7,4777,2.564,0.26,34.07,5.17
RGB,13.86,124.95,10.651,48.5,36.4,4741,3.002,0.02,17.47,3.7199999999999998
RGB,12.89,120.56,10.151,59.6,37.1,4707,2.985,0.37,18.54,4.03
RGB,13.03,50.11,4.501,76.4,23.7,4810,2.608,-0.44,39.65,7.75
HeB,11.78,57.37,5.338,62.3,21.9,4857,2.669,0.2,32.599999999999994,6.029999999999999
RGB,10.94,48.32,4.86,77.1,17.1,4693,2.587,-0.08,32.14,4.859999999999999
RGB,12.05,107.14,8.88,32.2,36.1,4837,2.94,0.16,21.91,5.08
HeB,10.68,27.71,3.193,75.5,11.5,4687,2.345,0.1,42.84,4.9399999999999995
HeB,11.52,45.89,4.786,78.8,18.6,4784,2.569,-0.01,31.939999999999998,4.61
HeB,11.45,54.27,5.094,57.5,21.4,5097,2.656,-0.04,35.089999999999996,6.770000000000001
RGB,12.39,90.22,7.624,36.5,31.6,4894,2.867,0.03,25.21,5.6899999999999995
HeB,12.44,54.44,5.332,54.7,21.2,4933,2.65,0.1,31.28,5.3100000000000005
HeB,12.7,28.12,4.122,139.0,9.9,4875,2.36,-0.54,26.69,1.98
RGB,14.0,88.98,8.413,60.8,29.3,5136,2.872,-0.47,21.009999999999998,4.0
RGB,13.31,104.38,8.821,36.4,49.1,5138,2.941,-0.19,22.459999999999997,5.36
HeB,13.97,35.06,3.668,90.5,8.9,5258,2.473,-0.17,44.87,7.26
HeB,10.08,31.75,3.905,95.3,12.3,4905,2.414,-0.48,33.54,3.56
HeB,13.9,39.68,4.101,107.8,15.7,4746,2.504,0.06,37.5,5.46
HeB,12.31,35.21,4.102,104.8,14.0,4801,2.455,-0.13,33.379999999999995,3.8600000000000003
HeB,12.94,29.02,3.983,116.4,8.8,4982,2.379,0.08,30.36,2.68
RGB,11.5,34.81,3.629,80.0,13.1,4740,2.447,0.18,42.1,6.03
RGB,11.7,72.93,6.298,54.0,19.9,4948,2.777,-0.14,30.089999999999996,6.6
HeB,13.64,38.07,4.13,90.7,12.9,4944,2.495,0.0,36.45,5.050000000000001
HeB,13.67,25.18,3.715,165.3,14.3,4875,2.312,-0.55,29.35,2.1399999999999997
HeB,10.23,67.91,5.779,23.3,36.5,5008,2.749,0.08,33.82,7.8100000000000005
HeB,13.21,27.52,3.37,91.5,11.4,4807,2.348,-0.18,38.64,4.039999999999999
RGB,13.79,171.1,13.215,40.4,49.1,5063,3.153,-0.1,16.259999999999998,4.57
RGB,10.98,61.51,5.642,38.9,21.8,4829,2.698,0.07,31.110000000000003,5.87
RGB,13.81,95.03,8.617,51.7,32.8,5144,2.901,-0.51,21.4,4.43
HeB,12.39,38.3,4.001,48.7,16.1,5008,2.5,-0.58,39.160000000000004,5.91
HeB,12.73,25.98,3.703,139.3,12.4,4799,2.322,-0.43,30.01,2.3
RGB,13.9,153.32,12.79,50.0,39.5,5123,3.108,-0.4,15.649999999999999,3.8200000000000003
RGB,10.0,128.74,10.677,54.3,37.2,4865,3.021,0.23,18.3,4.26
HeB,11.41,34.06,4.177,110.3,14.4,4851,2.443,0.1,31.59,3.36
HeB,13.68,32.09,3.931,138.2,13.8,4897,2.419,0.22,33.88,3.6599999999999997
RGB,12.75,30.1,3.65,108.3,11.9,4907,2.391,-0.62,36.290000000000006,3.95
HeB,12.65,35.54,4.192,99.5,14.3,4761,2.457,0.01,32.18,3.6100000000000003
RGB,10.67,42.64,4.568,74.8,16.5,4815,2.538,-0.21,32.58,4.46
HeB,12.58,32.57,4.122,130.7,12.3,4897,2.425,-0.58,30.759999999999998,3.06
RGB,13.48,54.53,5.576,94.0,18.0,4844,2.647,0.12,28.290000000000003,4.3
HeB,13.54,29.51,3.819,141.2,12.9,4973,2.386,-0.28,33.13,3.24
RGB,11.04,8.74,1.538,305.7,4.0,4464,1.833,-0.14,55.849999999999994,2.59
RGB,10.19,30.75,3.556,100.7,12.8,4722,2.392,0.05,38.47,4.44
HeB,13.57,32.96,4.182,103.3,12.4,5138,2.441,-0.69,31.5,3.33
RGB,11.4,20.97,2.683,156.9,7.7,4639,2.222,-0.47,44.980000000000004,4.109999999999999
HeB,13.56,30.09,3.947,145.4,12.4,5113,2.4,-0.21,32.35,3.2
RGB,13.14,158.5,12.165,26.0,54.9,5079,3.12,-0.05,17.82,5.09
HeB,12.16,32.99,3.986,119.1,15.7,4733,2.423,0.25,33.03,3.51
RGB,11.06,58.27,5.638,48.8,20.8,4884,2.677,-0.24,29.590000000000003,5.0600000000000005
RGB,13.01,124.12,10.772,59.6,35.0,4741,2.999,0.17,17.009999999999998,3.51
HeB,13.18,30.79,4.004,135.3,13.0,5056,2.408,-0.2,31.92,3.16
HeB,9.77,43.7,4.585,74.0,19.7,4852,2.551,0.16,33.59,4.87
HeB,11.71,51.72,4.897,54.1,20.7,4977,2.629,0.11,35.53,6.540000000000001
RGB,13.39,133.37,11.024,49.5,40.3,4922,3.038,0.11,17.9,4.27
RGB,11.97,36.52,3.953,85.3,15.5,4760,2.469,0.43,37.480000000000004,5.02
HeB,11.74,44.46,4.695,75.0,15.7,5042,2.567,-0.06,33.36,4.98
RGB,12.96,56.0,5.7,76.8,18.2,4789,2.656,-0.02,27.519999999999996,4.17
RGB,13.03,176.63,13.582,30.2,56.9,5041,3.166,-0.21,15.82,4.46
HeB,13.62,28.17,3.461,136.3,8.5,4537,2.345,0.0,36.09,3.51
RGB,12.68,104.49,9.47,65.1,32.0,4707,2.923,0.04,18.39,3.4499999999999997
RGB,11.94,46.43,4.906,87.9,15.8,4797,2.575,-0.17,30.700000000000003,4.3100000000000005
RGB,11.56,147.29,11.775,31.8,54.3,4891,3.08,-0.06,17.2,4.32
RGB,13.72,155.52,11.891,32.7,49.8,4879,3.103,-0.07,17.78,4.88
HeB,11.32,92.57,7.939,37.1,39.1,4923,2.88,0.28,24.009999999999998,5.3100000000000005
RGB,12.9,68.76,6.664,77.1,17.4,4725,2.742,-0.13,24.38,4.0
RGB,10.39,192.74,14.764,33.4,51.9,4855,3.195,0.19,14.309999999999999,3.9000000000000004
HeB,13.13,27.07,3.625,124.7,13.4,4714,2.337,-0.13,32.44,2.7800000000000002
HeB,13.48,26.17,3.163,130.4,8.9,4738,2.323,0.14,41.56,4.41
HeB,15.24,33.42,5.08,108.3,13.2,4755,2.43,-2.09,19.810000000000002,1.29
RGB,13.36,50.77,5.269,92.5,16.5,4966,2.621,-0.07,29.92,4.55
HeB,12.78,33.77,4.017,116.2,15.3,4920,2.442,0.24,34.230000000000004,3.9300000000000006
HeB,13.87,31.87,3.897,123.8,12.6,5115,2.425,-0.1,35.13,4.0
HeB,12.43,28.33,3.867,133.8,13.0,4968,2.368,-0.15,31.240000000000002,2.77
RGB,9.66,114.57,9.522,31.3,43.0,4944,2.973,-0.16,20.6,4.85
RGB,12.98,113.15,9.858,65.5,32.0,4745,2.959,0.22,18.54,3.8099999999999996
HeB,13.18,34.98,4.283,131.9,13.8,4910,2.457,0.36,31.22,3.3899999999999997
HeB,13.12,39.27,4.38,81.3,15.5,4933,2.508,-0.14,33.32,4.35
HeB,12.7,25.58,3.573,153.1,11.6,4834,2.317,-0.23,32.23,2.62
HeB,12.65,46.08,4.572,57.8,15.3,5008,2.581,-0.26,36.269999999999996,6.09
HeB,13.34,26.85,3.92,121.4,11.9,5026,2.347,-0.35,29.13,2.29
RGB,13.89,118.85,10.229,29.6,34.4,5145,2.998,-0.13,19.07,4.41
RGB,13.6,41.3,4.589,99.8,14.7,5000,2.533,-0.11,32.26,4.31
RGB,13.95,42.81,4.611,91.5,15.8,5023,2.549,-0.13,33.2,4.75
HeB,12.54,33.11,4.009,111.1,14.0,5165,2.444,0.28,34.81,4.09
HeB,13.87,28.19,4.101,156.6,13.0,5114,2.372,0.16,28.35,2.31
RGB,11.02,9.75,1.468,256.4,4.4,4434,1.88,0.04,68.71000000000001,4.36
HeB,13.74,31.61,4.113,134.1,13.8,5068,2.42,0.04,31.24,3.1100000000000003
RGB,13.76,133.18,12.284,42.0,38.5,5233,3.051,-1.05,14.91,3.04
RGB,12.89,18.29,2.506,246.0,6.0,4550,2.159,-0.26,44.56,3.49
RGB,12.95,37.29,4.208,117.1,13.0,4834,2.481,-0.19,33.74,4.19
RGB,13.2,44.45,4.913,107.3,14.8,4714,2.552,-0.12,28.96,3.63
HeB,12.7,34.36,4.21,102.3,13.7,5204,2.462,-0.11,32.84,3.8
HeB,13.45,30.54,3.751,129.4,12.2,5087,2.405,-0.18,36.15,4.04
HeB,12.31,38.04,3.651,63.1,15.1,5022,2.498,0.19,47.730000000000004,8.71
HeB,13.79,33.8,3.88,118.8,12.9,5098,2.45,0.19,37.59,4.84
RGB,13.96,114.75,10.292,49.6,38.1,5335,2.991,-0.08,18.650000000000002,4.140000000000001
RGB,13.45,25.52,3.31,144.7,9.0,4939,2.321,0.16,38.2,3.7199999999999998
HeB,12.49,32.26,3.957,115.4,13.7,4747,2.414,-0.06,32.64,3.37
HeB,12.91,31.57,3.841,113.4,12.8,4882,2.411,-0.19,34.54,3.7300000000000004
RGB,12.44,12.55,1.847,247.3,5.2,4367,1.986,-0.29,55.04,3.5700000000000003
RGB,12.41,79.89,7.196,51.3,22.8,4710,2.806,0.26,24.46,4.66
RGB,10.46,55.31,5.283,56.5,20.2,4871,2.654,0.08,32.1,5.640000000000001
HeB,13.26,31.79,3.836,127.9,11.7,4948,2.417,-0.14,35.26,3.95
RGB,11.96,179.67,14.02,42.3,49.0,4842,3.164,0.14,14.759999999999998,3.86
RGB,12.51,39.94,4.359,133.0,13.6,4761,2.508,0.23,33.55,4.3999999999999995
HeB,13.64,37.72,4.392,111.1,13.8,5153,2.5,-0.11,32.91,4.1499999999999995
RGB,15.13,129.53,11.548,45.6,28.6,5070,3.032,-0.93,15.96,3.33
RGB,11.96,103.77,8.991,60.1,33.0,4704,2.92,0.34,20.33,4.18
HeB,13.5,46.16,4.563,54.0,19.8,5117,2.586,-0.12,37.22,6.49
RGB,12.29,136.95,11.398,51.1,40.2,4817,3.045,0.12,16.96,3.87
RGB,12.25,73.34,6.864,69.0,23.4,4670,2.767,0.16,24.5,4.279999999999999
HeB,13.54,29.23,3.993,104.2,13.4,5208,2.392,-0.19,31.07,2.8899999999999997
HeB,11.81,42.56,4.622,82.6,17.3,5088,2.55,0.22,33.31,4.78
HeB,11.6,31.16,3.889,110.1,14.1,4840,2.403,0.37,33.37,3.4299999999999997
HeB,13.41,34.41,4.095,101.7,15.4,4959,2.452,0.28,33.76,3.9200000000000004
HeB,13.76,28.59,4.084,130.4,12.7,5043,2.375,-0.4,28.590000000000003,2.35
RGB,9.92,44.48,4.357,73.2,15.8,4690,2.551,0.14,37.02,5.93
HeB,12.97,30.3,4.388,138.0,12.1,4930,2.395,-0.77,25.58,1.97
RGB,12.92,31.66,3.816,125.8,11.1,4880,2.412,-0.12,35.13,3.87
HeB,13.16,32.66,4.012,134.4,11.8,4868,2.425,0.5,32.78,3.4699999999999998
HeB,13.21,35.94,4.19,105.6,15.1,4741,2.461,-0.04,32.42,3.69
HeB,13.39,28.64,3.977,137.6,11.3,5106,2.378,-0.17,30.450000000000003,2.69
RGB,11.76,60.84,5.527,41.6,18.3,4810,2.693,-0.11,31.85,6.08
RGB,12.93,42.19,4.812,100.5,12.9,4790,2.533,-0.8,28.4,3.3499999999999996
RGB,11.47,41.33,4.572,115.3,14.4,4533,2.512,-0.02,30.339999999999996,3.64
RGB,13.19,112.7,9.179,38.9,42.6,4774,2.959,0.42,21.37,5.05
HeB,13.73,30.27,3.974,138.2,11.9,4954,2.396,-0.32,31.310000000000002,2.9699999999999998
RGB,13.37,78.28,7.141,42.4,31.5,5028,2.812,-0.26,25.29,5.029999999999999
HeB,12.25,56.05,4.916,44.6,23.3,4940,2.663,0.01,38.129999999999995,8.120000000000001
HeB,12.96,56.88,5.342,58.8,22.0,4883,2.667,0.2,32.379999999999995,5.92
RGB,12.95,69.36,6.495,57.4,21.1,4767,2.748,0.06,26.190000000000005,4.67
RGB,12.72,41.31,4.419,75.8,13.7,4871,2.527,-0.45,33.91,4.71
RGB,13.52,52.53,5.364,81.9,17.5,4773,2.627,0.01,29.08,4.35
RGB,12.07,59.1,6.014,79.6,19.4,4553,2.668,0.15,25.23,3.6100000000000003
HeB,11.15,38.37,4.184,100.2,14.6,4847,2.494,0.1,35.349999999999994,4.74
HeB,13.44,31.7,3.938,110.5,10.5,4897,2.413,-0.25,33.04,3.4399999999999995
HeB,11.47,108.92,8.004,16.3,24.9,5016,2.955,0.2,28.43,8.86
HeB,11.8,76.56,6.561,32.5,28.0,4993,2.801,0.23,29.43,6.65
RGB,13.65,129.18,10.481,41.0,44.7,4846,3.021,0.03,18.93,4.58
HeB,12.32,56.16,5.328,51.8,21.0,4864,2.66,0.12,32.019999999999996,5.7
RGB,13.49,166.73,13.088,37.3,51.5,5044,3.141,-0.21,16.09,4.36
HeB,12.83,28.48,3.808,94.8,8.0,4883,2.366,-0.67,31.339999999999996,2.78
HeB,10.66,53.74,5.159,60.2,19.6,4833,2.64,0.08,32.53,5.609999999999999
RGB,13.07,40.39,4.318,67.3,11.5,4868,2.517,-0.5,34.65,4.81
RGB,11.9,75.28,7.036,74.5,23.6,4645,2.777,0.36,23.87,4.15
HeB,15.69,63.91,6.637,94.3,19.7,4780,2.713,-0.27,22.96,3.3099999999999996
RGB,13.35,57.49,5.583,55.6,19.4,4839,2.669,0.01,29.69,5.0
HeB,10.99,83.57,7.145,31.2,24.4,5007,2.839,-0.06,27.0,6.119999999999999
HeB,11.04,32.1,3.898,129.8,13.5,4707,2.41,0.27,33.47,3.5
HeB,13.88,28.83,4.174,107.9,13.9,5235,2.387,-0.48,28.28,2.37
HeB,12.86,51.41,5.026,60.0,30.5,5014,2.628,-0.67,33.31,5.73
HeB,13.91,35.05,4.247,76.1,13.7,5113,2.466,-0.91,32.18,3.6799999999999997
HeB,13.55,38.08,4.077,67.4,14.6,4944,2.495,-0.16,37.36,5.3100000000000005
RGB,13.12,45.39,4.831,75.7,16.1,4965,2.572,-0.41,31.71,4.5600000000000005
HeB,12.97,33.34,4.072,112.9,13.6,5040,2.442,-0.01,33.39,3.74
RGB,13.48,62.32,6.01,66.6,23.4,4898,2.707,0.15,28.049999999999997,4.88
RGB,13.74,117.56,10.06,54.6,36.0,4977,2.986,-0.11,19.05,4.27
HeB,13.13,31.64,4.184,112.4,13.2,5068,2.42,-0.66,29.880000000000003,2.8600000000000003
RGB,12.91,68.6,6.507,60.9,21.0,4724,2.741,0.13,25.68,4.41
RGB,11.84,191.62,13.964,17.1,59.3,5137,3.205,-0.07,16.48,5.29
HeB,11.74,47.63,4.885,70.0,20.3,4883,2.59,0.17,32.4,4.96
RGB,14.81,183.9,15.057,39.8,39.8,5116,3.186,-1.06,13.330000000000002,3.31
HeB,13.15,36.93,4.277,96.9,14.5,4973,2.483,-0.28,33.01,4.04
HeB,13.41,28.81,3.871,118.1,10.8,5027,2.377,-0.52,31.68,2.91
RGB,12.07,46.76,5.062,83.7,16.5,4888,2.582,-0.26,29.45,4.03
HeB,10.12,58.14,5.573,45.4,19.6,5233,2.691,-0.14,31.87,6.06
RGB,13.45,49.64,5.441,105.5,14.3,4768,2.602,-0.32,26.43,3.4
HeB,14.85,32.13,4.269,121.3,13.8,5077,2.427,-1.5,29.240000000000002,2.7800000000000002
RGB,13.17,160.66,12.626,37.4,47.7,5147,3.129,-0.18,16.92,4.69
RGB,11.49,50.83,5.217,77.0,17.4,4805,2.614,-0.31,29.65,4.4
RGB,10.97,33.85,4.007,136.9,11.9,4729,2.434,-0.36,32.97,3.5900000000000003
RGB,12.88,178.92,13.56,17.6,57.7,5050,3.172,-0.09,16.11,4.68
RGB,12.56,96.79,8.581,66.5,25.9,4730,2.891,0.25,20.9,4.12
RGB,12.24,40.59,4.649,111.6,14.1,4742,2.514,-0.55,29.270000000000003,3.4000000000000004
HeB,12.58,30.24,3.875,118.1,12.9,4970,2.396,-0.4,32.89,3.2800000000000002
HeB,9.75,36.96,3.858,66.3,17.9,4922,2.481,0.01,40.5,6.04
RGB,13.93,46.49,5.246,101.8,14.2,4825,2.576,-0.38,26.85,3.3
RGB,12.89,36.72,4.159,89.0,14.7,4882,2.476,-0.3,34.18,4.25
RGB,13.05,96.56,8.864,47.0,30.9,5005,2.902,-0.37,20.17,3.95
HeB,13.55,26.58,3.908,92.0,12.7,5077,2.345,-0.63,29.21,2.3
RGB,11.27,40.87,4.275,77.7,15.7,4743,2.517,-0.17,35.31,4.99
HeB,12.92,30.44,3.904,138.3,13.0,4753,2.389,-0.23,31.520000000000003,2.96
HeB,12.24,51.0,4.939,52.4,19.7,5006,2.625,-0.18,34.44,6.069999999999999
HeB,12.64,29.32,3.63,126.2,14.7,5223,2.394,-0.25,37.75,4.289999999999999
RGB,13.43,88.01,8.024,70.1,28.7,4765,2.851,0.18,21.82,4.11
HeB,11.29,32.68,4.132,114.8,13.8,4939,2.428,-0.16,31.25,3.1800000000000006
RGB,13.81,42.6,4.587,94.6,14.8,4789,2.537,-0.09,32.25,4.35
RGB,13.44,40.81,4.594,102.6,14.7,4893,2.523,0.14,31.439999999999998,4.0
RGB,13.53,120.77,10.477,58.3,33.4,4977,2.998,0.22,18.14,3.9800000000000004
RGB,9.57,164.39,13.3,26.8,52.0,4918,3.129,-0.22,15.069999999999999,3.72
RGB,10.99,111.36,9.29,39.7,33.0,4970,2.962,-0.23,21.1,4.96
HeB,13.93,33.77,4.081,128.6,15.4,4896,2.441,0.17,33.050000000000004,3.6599999999999997
HeB,13.4,27.65,3.769,172.9,12.0,5046,2.361,-0.28,32.32,2.92
RGB,11.45,8.24,1.422,360.0,3.2,4466,1.808,-0.79,61.03,2.92
HeB,13.07,28.14,3.825,142.8,11.0,5221,2.376,-0.03,32.72,3.09
RGB,12.6,158.12,12.64,46.2,45.4,4815,3.108,0.21,15.93,3.95
HeB,12.68,38.55,4.313,111.5,16.6,4946,2.5,0.49,34.17,4.49
RGB,13.12,50.31,5.203,76.8,17.6,4767,2.608,-0.11,29.479999999999997,4.29
HeB,13.11,26.84,3.581,149.7,12.0,4757,2.335,0.01,33.370000000000005,2.9299999999999997
HeB,12.52,32.05,3.994,121.7,13.6,5029,2.424,-0.17,33.2,3.55
RGB,13.79,38.72,4.258,121.8,13.1,4763,2.494,0.05,34.01,4.38
RGB,15.37,47.27,5.203,89.2,14.1,4888,2.586,-0.48,28.04,3.6900000000000004
RGB,10.29,5.71,0.973,339.0,2.8,4249,1.638,0.12,89.53999999999999,4.24
RGB,12.55,136.71,11.838,58.4,35.5,4764,3.042,-0.28,15.380000000000003,3.17
RGB,13.49,81.8,7.459,72.5,27.1,4836,2.822,0.15,23.700000000000003,4.53
HeB,12.4,44.14,4.587,79.1,17.4,4952,2.56,-0.06,34.28,5.18
RGB,13.56,29.05,3.36,105.6,11.1,4893,2.375,-0.77,41.17,4.890000000000001
HeB,13.48,23.18,3.098,172.7,7.5,4775,2.272,-0.78,37.57,3.21
RGB,13.33,101.56,9.382,60.9,28.3,5135,2.929,-0.02,19.4,3.88
HeB,13.65,31.91,4.11,105.7,12.9,5221,2.43,-0.18,32.08,3.3600000000000003
RGB,13.72,107.31,9.094,49.9,38.2,4786,2.938,0.07,20.73,4.529999999999999
