phase,ap_mag,freq,fr_sep,amp,pow_ex,temp,grav,metal,rad,mass
HeB,10.78,28.12,3.742,112.5,12.4,4758,2.355,-0.2,31.76,2.7800000000000002
HeB,13.83,30.28,3.847,90.0,19.0,4982,2.397,-0.01,33.72,3.4499999999999997
RGB,13.92,156.19,13.183,47.0,40.6,4971,3.109,-0.53,14.65,3.3600000000000003
RGB,12.37,142.81,11.425,22.4,42.6,4977,3.071,-0.08,17.93,4.59
HeB,12.92,30.89,3.86,114.0,15.4,4764,2.396,0.17,33.12,3.3200000000000003
HeB,13.77,40.29,4.518,84.0,16.6,4970,2.521,-0.2,32.29,4.199999999999999
RGB,12.33,197.28,15.042,30.9,49.6,4963,3.21,-0.08,14.279999999999998,4.0200000000000005
RGB,12.23,108.0,9.41,38.9,29.7,4908,2.946,-0.2,19.77,4.2
HeB,11.85,47.1,4.424,68.9,17.6,5041,2.592,0.18,40.24,7.68
HeB,9.22,98.48,7.894,30.4,37.8,5054,2.912,-0.0,26.4,6.92
RGB,10.89,8.93,1.214,172.1,3.0,4234,1.831,0.14,90.88,6.8100000000000005
HeB,12.23,33.53,4.068,131.5,15.3,4678,2.428,0.46,32.19,3.3599999999999994
HeB,13.62,41.62,4.557,80.5,17.9,5008,2.536,-0.12,32.99,4.54
HeB,13.33,33.13,3.897,132.7,13.5,4697,2.423,0.15,34.45,3.83
HeB,10.93,30.7,3.699,88.2,12.6,4995,2.404,-0.72,36.6,4.13
HeB,11.57,46.52,4.892,52.3,19.7,4836,2.577,0.2,31.349999999999998,4.51
RGB,12.86,149.79,12.864,47.4,37.9,4815,3.084,-0.31,14.400000000000002,3.05
RGB,13.76,164.74,13.223,45.8,43.1,4983,3.133,-0.16,15.46,3.9400000000000004
RGB,12.85,45.87,5.183,94.3,14.5,4945,2.576,-0.69,27.58,3.49
HeB,13.63,54.57,5.044,49.5,14.7,4762,2.643,0.14,34.25,6.2700000000000005
RGB,11.34,54.12,5.505,88.4,17.7,4632,2.634,0.2,27.96,4.09
RGB,11.55,124.78,10.444,33.8,44.3,5083,3.016,-0.05,19.05,4.58
HeB,8.81,40.69,4.486,76.8,16.6,4998,2.526,-0.11,33.24,4.51
RGB,13.83,82.07,7.899,74.0,24.6,4857,2.825,-0.1,21.17,3.65
RGB,12.47,53.41,5.571,88.5,16.8,4772,2.634,-0.21,27.25,3.88
RGB,11.47,12.55,1.817,298.3,4.6,4386,1.987,-0.06,57.17,3.8600000000000003
RGB,10.76,63.63,6.11,69.5,20.2,4752,2.709,0.03,27.08,4.57
HeB,13.39,39.2,4.328,82.9,15.5,4803,2.501,-0.51,33.04,4.22
RGB,11.64,105.14,8.758,44.4,34.2,4813,2.93,0.18,22.04,5.029999999999999
HeB,11.93,31.86,3.818,114.1,14.9,4633,2.403,0.36,34.25,3.61
RGB,12.19,41.03,4.564,79.7,14.3,4798,2.521,-0.29,31.240000000000002,3.9400000000000004
RGB,12.65,191.7,14.737,38.6,49.1,4894,3.195,0.09,14.34,3.91
RGB,13.69,180.02,14.798,42.2,47.5,4937,3.169,-0.37,13.36,3.2100000000000004
RGB,13.38,58.13,5.691,93.3,19.0,4585,2.662,0.34,27.94,4.36
HeB,12.12,33.55,4.048,103.6,14.2,4780,2.433,0.28,32.8,3.54
RGB,13.81,182.26,14.338,47.7,44.3,4845,3.171,-0.09,14.26,3.65
HeB,13.66,26.58,3.651,110.3,11.5,4778,2.331,-0.31,31.58,2.6
RGB,12.84,65.85,6.418,78.9,20.5,4674,2.721,0.21,25.18,4.05
HeB,11.63,77.7,6.726,42.1,28.2,4975,2.806,0.15,28.28,6.22
HeB,10.4,72.27,6.235,41.9,29.1,5204,2.784,0.19,31.759999999999998,7.460000000000001
RGB,11.23,102.64,8.465,28.2,38.8,5044,2.93,-0.19,23.7,5.8100000000000005
HeB,13.46,31.08,3.966,140.2,13.9,4795,2.4,0.3,31.85,3.1000000000000005
RGB,13.45,56.85,5.702,81.5,18.2,4657,2.656,0.17,27.47,4.16
RGB,12.9,25.56,3.279,179.9,8.9,4543,2.304,-0.29,36.28,3.2300000000000004
HeB,11.49,41.72,4.48,93.2,16.0,4768,2.527,-0.25,32.839999999999996,4.41
HeB,13.63,31.12,3.879,147.1,16.1,4810,2.401,-0.12,33.06,3.35
RGB,13.23,36.62,4.195,83.1,12.0,4857,2.474,-0.37,33.300000000000004,4.02
RGB,10.24,29.96,3.712,126.0,10.8,4743,2.382,-0.16,34.31,3.4499999999999997
HeB,13.92,30.34,3.825,154.2,13.4,4971,2.398,-0.56,33.77,3.4699999999999998
HeB,13.24,30.25,4.031,181.7,13.0,4817,2.389,0.32,30.229999999999997,2.72
RGB,13.55,137.81,11.175,48.0,40.9,4614,3.039,0.37,17.25,3.94
HeB,12.61,23.69,3.294,121.5,10.1,4824,2.284,-0.27,34.870000000000005,2.84
HeB,13.88,27.76,3.862,121.5,11.6,4769,2.35,-0.3,29.509999999999998,2.3600000000000003
HeB,10.86,46.09,4.78,67.7,18.6,4899,2.576,-0.09,32.69,4.9
RGB,13.0,82.66,7.758,63.0,27.3,4796,2.825,-0.04,21.939999999999998,3.91
RGB,13.16,125.59,10.8,54.4,37.5,4764,3.005,0.2,17.21,3.6399999999999997
HeB,13.6,30.18,3.964,136.0,11.7,4888,2.392,-0.88,30.549999999999997,2.8
RGB,12.34,6.15,1.074,465.1,3.0,4114,1.663,0.3,77.41,3.3499999999999996
RGB,13.64,41.98,4.772,114.0,12.6,4997,2.54,-0.83,30.03,3.8
HeB,13.04,28.79,3.892,116.9,12.3,4991,2.376,-1.09,30.939999999999998,2.76
HeB,13.75,29.43,3.991,141.7,12.1,5139,2.392,-0.58,30.939999999999998,2.86
HeB,13.1,35.43,4.031,106.0,13.4,5148,2.473,0.01,36.65,4.84
RGB,13.79,69.87,6.68,88.5,21.6,4776,2.751,0.42,25.020000000000003,4.29
HeB,13.39,31.03,3.854,154.3,12.3,4819,2.401,0.11,33.620000000000005,3.45
HeB,12.26,39.92,3.87,67.3,17.6,4684,2.504,0.03,42.14,6.889999999999999
HeB,13.25,32.8,4.102,125.3,14.0,4785,2.423,-0.04,31.15,3.13
HeB,13.27,29.51,3.943,137.7,12.3,4906,2.383,-0.62,30.490000000000002,2.73
RGB,11.81,113.24,9.698,66.2,30.3,4714,2.958,0.3,19.09,4.0200000000000005
RGB,13.75,41.85,4.772,99.4,13.0,4872,2.533,-1.04,28.939999999999998,3.4800000000000004
RGB,13.59,89.24,8.08,62.4,29.4,4858,2.861,-0.14,21.990000000000002,4.27
HeB,12.09,33.21,3.963,106.6,13.6,4837,2.431,-0.24,33.83,3.74
HeB,11.91,61.48,5.666,50.5,23.2,4930,2.702,0.05,31.28,6.0
HeB,12.32,40.32,4.419,94.5,16.0,4759,2.512,-0.28,32.56,4.18
HeB,9.92,39.0,4.046,63.7,16.8,4734,2.496,-0.23,37.54,5.37
RGB,11.77,5.89,1.118,415.5,2.7,4314,1.655,-0.29,69.66,2.67
HeB,9.53,45.49,4.628,60.3,18.7,4831,2.567,0.06,34.19,5.24
HeB,11.51,81.28,6.955,37.6,30.4,4978,2.826,0.08,27.65,6.21
HeB,10.6,38.33,4.354,94.1,15.3,4801,2.492,0.01,32.370000000000005,3.95
RGB,13.14,75.77,7.207,71.5,20.6,4744,2.785,0.08,23.17,3.97
RGB,11.15,9.5,1.439,345.8,4.0,4242,1.859,0.08,67.93,4.05
HeB,12.68,34.33,3.931,119.8,16.5,4753,2.441,0.44,35.64,4.27
RGB,12.85,135.86,11.175,33.8,58.8,4804,3.041,0.27,17.48,4.09
RGB,11.77,33.92,3.795,91.8,13.6,4908,2.443,-0.12,38.21,4.92
RGB,12.67,182.49,13.828,37.0,50.7,4849,3.171,0.28,15.43,4.3
RGB,13.18,86.51,8.356,62.4,25.8,5068,2.857,-0.17,20.59,3.7
HeB,13.02,35.26,4.011,107.4,13.2,4735,2.452,0.32,34.87,4.1899999999999995
HeB,12.0,30.0,3.865,109.7,13.3,4784,2.384,-0.17,31.93,3.0
HeB,13.18,30.8,3.762,150.3,15.6,4773,2.395,-0.11,34.57,3.6100000000000003
HeB,12.46,37.17,4.175,65.9,18.8,4780,2.477,-0.5,33.53,4.11
RGB,13.74,31.19,3.668,142.4,11.0,4775,2.401,-0.41,36.49,4.07
HeB,13.71,71.75,6.589,45.6,39.5,5164,2.78,-0.25,27.79,5.65
RGB,13.62,105.9,9.394,40.1,31.3,4859,2.935,-0.52,19.14,3.84
HeB,12.39,34.12,4.004,117.2,15.7,4750,2.439,-0.46,33.32,3.71
RGB,13.42,185.45,14.41,39.1,47.3,4885,3.18,-0.27,14.39,3.8200000000000003
RGB,11.81,57.6,5.673,91.1,18.2,4665,2.662,0.32,28.2,4.44
HeB,10.56,34.5,4.122,99.2,13.9,4863,2.449,-0.73,32.22,3.55
RGB,12.73,147.82,12.371,42.0,44.2,4913,3.083,-0.17,15.66,3.61
RGB,13.96,46.7,4.861,90.7,16.8,4868,2.58,-0.13,31.85,4.69
RGB,13.45,111.05,9.997,63.4,32.2,4950,2.96,-0.15,18.14,3.6500000000000004
HeB,10.72,33.73,4.133,110.7,14.7,4757,2.434,0.16,31.509999999999998,3.2800000000000002
RGB,13.16,24.53,3.014,151.5,9.9,4429,2.28,0.28,41.03,3.91
HeB,11.53,29.9,3.719,89.1,11.3,4932,2.39,-0.43,35.03,3.6599999999999997
HeB,12.56,27.64,3.74,118.9,13.6,4775,2.348,-0.33,31.23,2.65
HeB,12.69,84.71,7.218,26.7,46.1,5137,2.851,-0.73,27.299999999999997,6.42
HeB,13.7,37.87,4.201,112.5,14.6,4801,2.486,-0.02,34.29,4.38
HeB,11.7,65.59,6.26,77.0,26.4,4644,2.718,-0.06,26.1,4.33
HeB,13.52,45.67,4.733,56.9,18.0,5064,2.579,-0.57,33.7,5.24
HeB,13.0,34.83,4.116,99.6,15.1,5202,2.467,-0.06,34.82,4.32
HeB,11.41,34.71,4.276,109.2,14.4,5065,2.46,0.01,31.660000000000004,3.5199999999999996
RGB,12.66,92.7,8.116,42.8,46.8,4758,2.873,0.21,22.46,4.58
HeB,13.74,43.62,4.519,65.0,20.5,5248,2.567,-0.26,36.400000000000006,5.9399999999999995
RGB,12.65,112.12,9.295,32.1,44.1,5249,2.977,-0.16,22.11,5.640000000000001
HeB,9.59,29.54,3.869,109.7,12.9,4853,2.381,-0.57,31.369999999999997,2.88
HeB,12.56,30.01,3.99,147.6,13.7,4924,2.391,-0.14,30.78,2.83
RGB,13.13,23.72,2.992,213.6,7.1,4424,2.265,-0.16,39.95,3.58
RGB,13.11,138.38,11.328,46.4,39.1,4832,3.05,0.19,17.39,4.13
HeB,12.34,28.93,3.56,83.9,11.7,4925,2.375,-0.52,36.87,3.92
HeB,13.62,26.27,3.595,151.5,10.5,4963,2.335,-0.34,33.26,2.91
HeB,11.1,29.07,3.635,136.0,10.2,4832,2.373,-0.08,35.31,3.58
HeB,11.77,49.27,4.321,32.5,19.5,4955,2.607,0.25,44.09,9.58
HeB,12.81,32.53,4.148,115.0,11.1,4966,2.428,-0.38,30.89,3.11
RGB,15.18,78.47,7.353,63.0,28.4,4790,2.802,-0.28,23.0,4.08
RGB,13.22,76.87,6.946,53.8,31.1,4870,2.797,-0.05,25.74,5.05
HeB,11.95,45.86,4.695,64.5,18.9,4776,2.568,0.14,33.25,4.97
HeB,10.93,32.57,3.98,114.0,11.9,4942,2.427,0.06,33.68,3.6900000000000004
RGB,13.94,46.05,5.229,98.9,15.5,4992,2.58,-0.55,27.53,3.49
RGB,12.06,58.84,5.673,64.6,21.5,4683,2.672,0.28,28.88,4.77
RGB,13.28,117.75,10.399,48.6,36.0,4972,2.987,-0.38,17.79,3.7199999999999998
HeB,13.59,28.27,3.824,131.5,14.3,4856,2.362,-0.15,31.26,2.73
RGB,13.2,98.88,8.576,43.8,30.2,4838,2.905,0.13,21.67,4.59
HeB,8.18,101.9,8.142,30.1,40.2,5107,2.93,0.09,25.869999999999997,6.92
RGB,13.11,145.52,12.406,46.6,40.1,4877,3.074,-0.24,15.24,3.35
HeB,12.78,36.45,4.206,93.7,13.0,4820,2.47,-0.34,32.76,3.85
HeB,13.7,37.31,4.063,96.2,14.3,4924,2.485,-0.25,36.69,5.0
HeB,12.97,33.54,4.119,126.0,14.6,4878,2.437,-0.05,32.0,3.41
HeB,13.94,35.8,4.185,79.6,14.0,4893,2.466,-1.38,32.39,3.74
HeB,11.7,74.72,6.101,29.4,18.7,5026,2.791,0.04,33.56,8.469999999999999
RGB,12.63,61.05,5.97,81.5,20.2,4708,2.689,0.18,27.11,4.38
HeB,10.81,45.01,4.671,53.4,17.7,4854,2.564,0.09,33.31,4.95
RGB,13.35,120.96,10.26,59.9,36.2,4699,2.986,0.48,18.08,3.8499999999999996
RGB,10.97,12.17,1.742,150.5,6.4,4447,1.977,0.23,61.11,4.3100000000000005
RGB,12.23,88.75,7.742,35.9,27.5,4815,2.857,0.21,23.83,4.96
HeB,10.95,105.68,8.135,29.4,41.9,5003,2.941,0.16,26.529999999999998,7.470000000000001
HeB,13.49,28.4,3.882,162.2,12.0,4999,2.37,-0.32,31.09,2.7600000000000002
HeB,12.97,37.78,4.161,136.0,14.4,5003,2.494,-0.6,35.7,4.84
HeB,12.74,36.68,4.184,86.3,12.6,5003,2.481,-0.51,34.31,4.34
RGB,12.75,57.59,5.732,90.6,19.0,4802,2.668,0.11,28.1,4.47
RGB,13.92,144.16,12.328,49.2,36.8,4997,3.076,-0.28,15.57,3.51
RGB,13.03,66.37,6.491,53.2,25.2,4790,2.729,0.17,25.240000000000002,4.15
RGB,13.85,40.4,4.33,89.8,14.0,4984,2.522,-0.21,35.29,5.05
HeB,12.27,47.24,4.723,66.6,12.2,5023,2.592,-0.23,34.92,5.8
